algo,size,milliseconds
NaiveBWT,21504,220
NaiveBWT,39611,910
NaiveBWT,49379,1338
NaiveBWT,53161,741
NaiveBWT,71646,2050
NaiveBWT,82199,5868
NaiveBWT,93695,25311
NaiveBWT,102400,34215
MemEfficientBWT,21504,6
MemEfficientBWT,39611,12
MemEfficientBWT,49379,14
MemEfficientBWT,53161,15
MemEfficientBWT,71646,20
MemEfficientBWT,82199,24
MemEfficientBWT,93695,30
MemEfficientBWT,102400,34
MemEfficientBWT,111261,36
MemEfficientBWT,246814,81
MemEfficientBWT,377109,126
MemEfficientBWT,513216,683
MemEfficientBWT,610856,212
MemEfficientBWT,768771,274
MemEfficientBWT,1176192,3670
MemEfficientBWT,1537514,12856
MemEfficientBWT,2306272,37370
SuffixArrayBWT,21504,1
SuffixArrayBWT,39611,2
SuffixArrayBWT,49379,3
SuffixArrayBWT,53161,3
SuffixArrayBWT,71646,4
SuffixArrayBWT,82199,5
SuffixArrayBWT,93695,5
SuffixArrayBWT,102400,6
SuffixArrayBWT,111261,7
SuffixArrayBWT,246814,19
SuffixArrayBWT,377109,27
SuffixArrayBWT,513216,20
SuffixArrayBWT,610856,42
SuffixArrayBWT,768757,58
SuffixArrayBWT,1176192,83
SuffixArrayBWT,1537514,99
SuffixArrayBWT,2306272,217
SuffixArrayBWT,3075028,225
SuffixArrayBWT,15375143,2359
SuffixArrayBWT,46125430,9208
BZIP2,21504,2
BZIP2,39611,4
BZIP2,49379,5
BZIP2,53161,5
BZIP2,71646,8
BZIP2,82199,5
BZIP2,93695,12
BZIP2,102400,6
BZIP2,111261,11
BZIP2,246814,21
BZIP2,377109,38
BZIP2,610856,70
BZIP2,768757,83
BZIP2,1176192,130
BZIP2,1537514,170
BZIP2,2306272,250
BZIP2,3075028,333
BZIP2,15375143,1620
BZIP2,46125430,5460
SuffixTreeBWT,21504,17
SuffixTreeBWT,49379,40
SuffixTreeBWT,71646,50
SuffixTreeBWT,93695,80
SuffixTreeBWT,102400,73
SuffixTreeBWT,111261,85
SuffixTreeBWT,246814,230
SuffixTreeBWT,768757,800
SuffixTreeBWT,1537514,8000
